spp.names	lnCsize	lnMass	orderArctocyonia	orderArtiodactyla	orderCarnivora	orderChiroptera	orderCingulata	orderDasyuromorphia	orderDermoptera	orderDidelphimorphia	orderDinocerata	orderDiprotodontia	orderEulipotyphla	orderHyaenodonta	orderHyracoidea	orderLagomorpha	orderLeptictida	orderLitopterna	orderMacroscelididae	orderMicrobiotheria	orderMonotremata	orderMultituberculata	orderNotoryctemorphia	orderNotoungulata	orderPantodonta	orderPantolesta	orderPaucituberculata	orderPeramelemorphia	orderPerissodactyla	orderPholidota	orderPilosa	orderPlesiadapiformes	orderPrimates	orderProboscidea	orderRodentia	orderScandentia	orderSirenia	orderSparassodonta	orderTillodontia	orderTubulidentata	orderYalkaparidontia
Abrocoma_cinerea	5.03451173984463	5.26600076507149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Abrothrix_olivacea	4.3470901788395	3.19948911106801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acinonyx_jubatus	6.222428196194	10.8312703964049	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acomys_cahirinus	4.50198450954661	3.71746691096585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Acrobates_pygmaeus	4.30469125019259	2.62756295018952	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adapis_parisiensis	5.42833783582679	7.7621706071382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Adinotherium_ovinum	6.22012914627276	11.6952470217642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aenocyon_dirus	6.43762504605714	11.0566827189745	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aepeomys_lugens	4.59006015013974	3.61091791264422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Aethalops_alecto	4.43658428147924	2.70805020110221	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agriochoerus_sp	5.89117150349787	10.86919682254	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ailuropoda_melanoleuca	6.50242889789588	11.678439818702	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ailurus_fulgens	5.92807617091318	8.55064344127057	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Albacetus_salvifactus	7.24004084710053	15.7895915839863	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcelaphus_buselaphus	7.12213727609844	11.9887736067309	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alces_alces	6.72155899575617	13.0431053417951	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alouatta_palliata	5.96327582967548	8.79133247285014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Alticola_argentatus	4.52033911647347	3.62939480727904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Amblysomus_hottentotus	4.49728918197788	4.13676527810605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amynodon_advenus	6.4355900733817	12.4799093111599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Anomalurus_beecrofti	5.25982128213458	6.17184672452089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Anoplotherium_sp	6.40458072270838	12.4554997383579	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anotomys_leander	4.63782850890231	4.19554644273107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Anoura_geoffroyi	4.35389783772102	2.71800053195538	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anourosorex_squamipes	4.24072192068975	2.99573227355399	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Antechinus_flavipes	4.50763362791665	3.79166164875696	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
