,1,2,3,4,5,6
D1,1,1,1,1,1,1
D2,1,1,2,2,2,2
D3,1,1,2,2,2,2
D4,1,1,1,1,1,1
D5,1,2,1,2,2,3
D6,1,2,1,2,1,4
D7,1,2,1,2,1,4
D8,1,2,1,2,1,4
D9,1,2,1,2,2,3
D10,1,1,2,2,2,2
D11,1,1,2,2,2,2
D12,1,1,2,2,2,2
D13,1,1,2,2,2,2
D14,1,1,2,2,2,2
D15,1,1,2,2,2,2
D16,1,1,2,2,2,2
D17,1,1,2,2,2,2
D18,1,1,2,2,2,2
D19,1,1,2,2,2,2
D20,1,1,2,2,2,2
D21,1,1,2,2,2,2
D22,1,1,1,1,1,1
D23,1,1,1,1,1,1
D24,1,1,1,1,1,1
D25,1,1,1,1,1,1
D26,1,1,1,1,1,1
D27,1,1,1,1,1,1
D28,1,1,1,1,1,1
D29,1,1,1,1,1,1
D30,1,2,1,2,2,3
D31,1,2,1,2,2,3
D32,1,2,1,2,2,3
D33,1,2,1,2,1,4
D34,1,2,1,2,1,4
D35,1,2,1,2,1,4
D36,1,2,1,2,1,4
D37,1,2,1,2,1,4
D38,1,2,1,2,1,4
D39,1,2,1,2,1,4
D40,1,2,1,2,1,4
D41,1,2,1,2,1,4
D42,1,2,1,2,1,4
D43,1,2,1,2,1,4
D44,1,2,1,2,2,3
D45,1,2,1,2,2,3
D46,1,2,1,2,2,3
D47,1,2,1,2,2,3
D48,1,2,1,2,2,3
D49,1,2,1,2,2,3
D50,1,2,1,2,2,3
D51,1,2,1,2,2,3
D52,1,1,2,2,2,3
D53,1,1,2,2,2,2
D54,1,1,2,2,2,2
D55,1,1,2,2,2,2
D56,1,1,2,2,2,2
D57,1,1,2,2,2,2
D58,1,1,2,2,2,2
D59,1,1,2,2,2,2
D60,1,2,1,2,2,3
D61,1,2,1,2,2,3
D62,1,2,1,2,2,3
D63,1,2,1,2,2,3
D64,1,2,1,2,2,3
D65,1,2,1,2,2,3
D66,1,2,1,2,2,3
D67,1,2,1,2,2,3
D68,1,2,1,2,2,3
D69,1,2,1,2,1,4
D70,1,2,1,2,1,4
D71,1,2,1,2,1,4
D72,1,2,1,2,1,4
D73,1,2,1,2,1,4
D74,1,1,2,2,2,2
D75,1,1,2,2,2,2
D76,1,1,2,2,2,2
D77,1,1,2,2,2,2
D78,1,1,2,2,2,2
D79,1,1,2,2,2,2
D80,1,1,2,2,2,2
D81,1,1,2,2,2,2
D82,1,1,2,2,2,2
D83,1,1,2,2,2,2
D84,1,1,2,2,2,2
D85,1,1,2,2,2,2
D86,1,1,2,2,2,2
D87,1,1,2,2,2,2
D88,1,1,2,2,2,2
D89,1,1,2,2,2,2
D90,1,1,2,2,2,2
D91,1,1,2,2,2,2
D92,1,1,2,2,2,2
D93,1,1,2,2,2,2
D94,1,1,2,2,2,2
D95,1,1,2,2,2,2
D96,1,1,2,2,2,2
D97,1,1,2,2,2,2
D98,1,1,2,2,2,2
D99,1,1,2,2,2,2
D100,1,1,2,2,2,2
D101,1,1,2,2,2,2
D102,1,1,2,2,2,2
D103,1,1,2,2,2,2
D104,1,1,2,2,2,2
D105,1,1,2,2,2,2
D106,1,1,2,2,2,2
D107,1,1,2,2,2,2
D108,1,1,2,2,2,2
D109,1,1,2,2,2,2
D110,1,1,2,2,2,2
D111,1,1,2,2,2,2
D112,1,1,2,2,2,2
D113,1,1,2,2,2,2
D114,1,1,1,1,1,1
D115,1,1,1,1,1,1
D116,1,1,1,1,1,1
D117,1,1,1,1,1,1
D118,1,1,1,1,1,1
D119,1,1,1,1,1,1
D120,1,1,1,1,1,1
D121,1,1,1,1,1,1
D122,1,1,1,1,1,1
