species,clade,superorder,order,family,status,tip_age,age_max,age_min,Mass,Activity,Diet,Sociality,Locomotion,specimen_ID,source,reference
Abrocoma_cinerea,Placentalia,Euarchontoglires,Rodentia,Abrocomidae,extant,0,0,0,193.64,NA,NA,Social,NA,UMMZ:mammals:120621,https://n2t.net/ark:/87602/m4/M141118,"56, 101"
Abrothrix_olivacea,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,24.52,Mixed,Omnivore,NA,Terrestrial,uf:mammals:24367,https://n2t.net/ark:/87602/m4/M133879,"56, 101"
Acinonyx_jubatus,Placentalia,Laurasiatheria,Carnivora,Felidae,extant,0,0,0,50577.92,Diurnal,Carnivore,Social,Terrestrial,AMNH:FM:145071,https://n2t.net/ark:/87602/m4/474935,"56, 101"
Acomys_cahirinus,Placentalia,Euarchontoglires,Rodentia,Muridae,extant,0,0,0,41.16,Nocturnal,Omnivore,Social,Terrestrial,nhmuk:65.789-793,https://n2t.net/ark:/87602/m4/420499,"56, 101"
Acrobates_pygmaeus,Metatheria,Marsupialia,Diprotodontia,Acrobatidae,extant,0,0,0,13.84,NA,Omnivore,Social,Arboreal,NHMUK:ZOO:ZD 1882.7.29.23,https://n2t.net/ark:/87602/m4/M52800,"56, 101"
Adapis_parisiensis,Placentalia,Euarchontoglires,Primates,Adapidae,extinct,37.465,41.03,33.9,2350,NA,Herbivore,NA,Arboreal,NHMUK:PAL:PV M 1345,https://n2t.net/ark:/87602/m4/M1949,"9, 15, 108"
Adinotherium_ovinum,Placentalia,Laurasiatheria,Notoungulata,Toxodontidae,extinct,16.9,17.5,16.3,120000,NA,Carnivore,NA,Terrestrial,fmnh:pm:12986,https://n2t.net/ark:/87602/m4/387949,"76, 109"
Aenocyon_dirus,Placentalia,Laurasiatheria,Carnivora,Canidae,extinct,1.297,2.58,0.014,63366,NA,Carnivore,Social,Terrestrial,LACM:rlb:HC 2300-82,https://n2t.net/ark:/87602/m4/384303,"81, 110"
Aepeomys_lugens,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,37,NA,NA,NA,NA,UMMZ:mammals:156384,https://n2t.net/ark:/87602/m4/M65522,"56, 101"
Aethalops_alecto,Placentalia,Laurasiatheria,Chiroptera,Pteropodidae,extant,0,0,0,15,NA,NA,NA,Volant,AMNH:Mammals:M-247163,https://n2t.net/ark:/87602/m4/M36128,"56, 101"
Agriochoerus_sp,Placentalia,Laurasiatheria,Artiodactyla,Agriochoeridae,extinct,30.65,31.8,29.5,52533,NA,Herbivore,NA,Semi-arboreal,AMNH:F:AM:95330,https://doi.org/10.18563/m3.sf.1067,"43, 81, 107"
